--- Demand Distribution ---
Demand    Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Lead Time Distribution ---
Lead Time Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Simulation Log ---
day          | begin_inv    | rd_demand    | demand       | end_inv      | backorder    | order_qty    | rd_lead      | lead_time    | days_until_arrival
321          | 0            | 41           | 3            | 0            | 654          | 0            | 0            | 0            | 0           
322          | 0            | 7            | 2            | 0            | 656          | 10           | 11           | 2            | 2           
323          | 0            | 100          | 5            | 0            | 661          | 0            | 0            | 0            | 1           
324          | 0            | 13           | 2            | 0            | 653          | 0            | 0            | 0            | 0           
325          | 0            | 45           | 3            | 0            | 656          | 0            | 0            | 0            | 0           
326          | 0            | 94           | 5            | 0            | 661          | 0            | 0            | 0            | 0           
327          | 0            | 76           | 5            | 0            | 666          | 0            | 0            | 0            | 0           
328          | 0            | 95           | 5            | 0            | 671          | 0            | 0            | 0            | 0           
329          | 0            | 99           | 5            | 0            | 676          | 10           | 5            | 2            | 2           
330          | 0            | 64           | 4            | 0            | 680          | 0            | 0            | 0            | 1           
331          | 0            | 64           | 4            | 0            | 674          | 0            | 0            | 0            | 0           
332          | 0            | 81           | 5            | 0            | 679          | 0            | 0            | 0            | 0           
333          | 0            | 58           | 4            | 0            | 683          | 0            | 0            | 0            | 0           
334          | 0            | 15           | 2            | 0            | 685          | 0            | 0            | 0            | 0           
335          | 0            | 57           | 4            | 0            | 689          | 0            | 0            | 0            | 0           
336          | 0            | 77           | 5            | 0            | 694          | 10           | 65           | 4            | 4           
337          | 0            | 63           | 4            | 0            | 698          | 0            | 0            | 0            | 3           
338          | 0            | 14           | 2            | 0            | 700          | 0            | 0            | 0            | 2           
339          | 0            | 82           | 5            | 0            | 705          | 0            | 0            | 0            | 1           
340          | 0            | 71           | 4            | 0            | 699          | 0            | 0            | 0            | 0           
341          | 0            | 55           | 4            | 0            | 703          | 0            | 0            | 0            | 0           
342          | 0            | 22           | 2            | 0            | 705          | 0            | 0            | 0            | 0           
343          | 0            | 17           | 2            | 0            | 707          | 10           | 99           | 5            | 5           
344          | 0            | 36           | 3            | 0            | 710          | 0            | 0            | 0            | 4           
345          | 0            | 64           | 4            | 0            | 714          | 0            | 0            | 0            | 3           
346          | 0            | 1            | 2            | 0            | 716          | 0            | 0            | 0            | 2           
347          | 0            | 14           | 2            | 0            | 718          | 0            | 0            | 0            | 1           
348          | 0            | 43           | 3            | 0            | 711          | 0            | 0            | 0            | 0           
349          | 0            | 55           | 4            | 0            | 715          | 0            | 0            | 0            | 0           
350          | 0            | 60           | 4            | 0            | 719          | 10           | 48           | 3            | 3           
351          | 0            | 34           | 3            | 0            | 722          | 0            | 0            | 0            | 2           
352          | 0            | 31           | 3            | 0            | 725          | 0            | 0            | 0            | 1           
353          | 0            | 40           | 3            | 0            | 718          | 0            | 0            | 0            | 0           
354          | 0            | 1            | 2            | 0            | 720          | 0            | 0            | 0            | 0           
355          | 0            | 81           | 5            | 0            | 725          | 0            | 0            | 0            | 0           
356          | 0            | 17           | 2            | 0            | 727          | 0            | 0            | 0            | 0           
357          | 0            | 13           | 2            | 0            | 729          | 10           | 42           | 3            | 3           
358          | 0            | 57           | 4            | 0            | 733          | 0            | 0            | 0            | 2           
359          | 0            | 89           | 5            | 0            | 738          | 0            | 0            | 0            | 1           
360          | 0            | 22           | 2            | 0            | 730          | 0            | 0            | 0            | 0           
361          | 0            | 57           | 4            | 0            | 734          | 0            | 0            | 0            | 0           
362          | 0            | 7            | 2            | 0            | 736          | 0            | 0            | 0            | 0           
363          | 0            | 64           | 4            | 0            | 740          | 0            | 0            | 0            | 0           
364          | 0            | 85           | 5            | 0            | 745          | 10           | 46           | 3            | 3           
365          | 0            | 99           | 5            | 0            | 750          | 0            | 0            | 0            | 2           
