--- Demand Distribution ---
Demand,Prob,Cum_Prob,Random_Digits
3,0.1,0.1,01-10
4,0.2,0.3,11-30
5,0.3,0.6,31-60
6,0.2,0.8,61-80
7,0.15,0.95,81-95
8,0.05,1.0,96-00

--- Lead Time Distribution ---
Lead time,Prob,Cum_Prob,Random_Digits
1,0.3,0.3,01-30
2,0.5,0.8,31-80
3,0.2,1.0,81-00

--- Simulation Log ---
Cycle,Day,Begin Inv,RD Demand,Demand,End Inv,Backorder,Order Qty,RD Lead,Days Until Arrival
,7,5,14,4,1,0,50,70,2
23,1,1,4,3,0,2,0,0,1
,2,0,81,7,0,9,0,0,0
,3,41,42,5,36,0,0,0,-
,4,36,40,5,31,0,0,0,-
,5,31,35,5,26,0,0,0,-
,6,26,65,6,20,0,0,0,-
,7,20,20,4,16,0,0,0,-
24,1,16,17,4,12,0,0,0,-
,2,12,49,5,7,0,0,0,-
,3,7,20,4,3,0,0,0,-
,4,3,13,4,0,1,0,0,-
,5,0,44,5,0,6,0,0,-
,6,0,88,7,0,13,0,0,-
,7,0,80,6,0,19,50,30,1
25,1,0,71,6,0,25,0,0,0
,2,25,85,7,18,0,0,0,-
,3,18,100,8,10,0,0,0,-
,4,10,40,5,5,0,0,0,-
,5,5,81,7,0,2,0,0,-
,6,0,61,6,0,8,0,0,-
,7,0,19,4,0,12,50,15,1
26,1,0,11,4,0,16,0,0,0
,2,34,39,5,29,0,0,0,-
,3,29,64,6,23,0,0,0,-
,4,23,35,5,18,0,0,0,-
,5,18,90,7,11,0,0,0,-
,6,11,32,5,6,0,0,0,-
,7,6,100,8,0,2,50,51,2
27,1,0,15,4,0,6,0,0,1
,2,0,15,4,0,10,0,0,0
,3,40,32,5,35,0,0,0,-
,4,35,68,6,29,0,0,0,-
,5,29,72,6,23,0,0,0,-
,6,23,49,5,18,0,0,0,-
,7,18,89,7,11,0,50,32,2
28,1,11,56,5,6,0,0,0,1
,2,6,59,5,1,0,0,0,0
,3,51,53,5,46,0,0,0,-
,4,46,41,5,41,0,0,0,-
,5,41,91,7,34,0,0,0,-
,6,34,90,7,27,0,0,0,-
,7,27,40,5,22,0,0,0,-
